name,ticker,isin,productType,currency
State Street SPDR Bloomberg Euro Corporate Bond UCITS ETF,EUCO,IE00B3T9LM79,ETF,EUR
State Street SPDR Bloomberg Euro Corporate Bond UCITS ETF,EUCO,IE00B3T9LM79,ETF,EUR
State Street SPDR Bloomberg Euro Corporate Bond UCITS ETF,EUCO,IE00B3T9LM79,ETF,EUR
State Street SPDR Bloomberg Euro Government Bond UCITS ETF,SYBB,IE00B3S5XW04,ETF,EUR
State Street SPDR Bloomberg Euro Government Bond UCITS ETF,SYBB,IE00B3S5XW04,ETF,EUR
State Street SPDR Bloomberg Euro Government Bond UCITS ETF,GOVY,IE00B3S5XW04,ETF,EUR
State Street SPDR Bloomberg Euro Government Bond UCITS ETF,GOVY,IE00B3S5XW04,ETF,CHF
State Street SPDR Bloomberg Global Aggregate Bond UCITS ETF,SPFF,IE000AQ7A2X6,ETF,EUR
State Street SPDR Bloomberg Sterling Corporate Bond UCITS ETF,SYBS,IE00B4694Z11,ETF,EUR
State Street SPDR Bloomberg Sterling Corporate Bond UCITS ETF,UKCO,IE00B4694Z11,ETF,GBP
State Street SPDR Bloomberg Sterling Corporate Bond UCITS ETF,UKCO,IE00B4694Z11,ETF,CHF
State Street SPDR S&P 500 Leaders UCITS ETF,SPPY,IE00BH4GPZ28,ETF,EUR
State Street SPDR S&P 500 Leaders UCITS ETF,500X,IE00BH4GPZ28,ETF,EUR
State Street SPDR S&P 500 Leaders UCITS ETF,500X,IE00BH4GPZ28,ETF,EUR
State Street SPDR S&P 500 Low Volatility UCITS ETF,SPY1,IE00B802KR88,ETF,EUR
State Street SPDR S&P 500 Low Volatility UCITS ETF,LOWV,IE00B802KR88,ETF,EUR
State Street SPDR S&P 500 Low Volatility UCITS ETF,USLV,IE00B802KR88,ETF,GBP
State Street SPDR S&P 500 Low Volatility UCITS ETF,SPY1,IE00B802KR88,ETF,EUR
State Street SPDR S&P 500 Low Volatility UCITS ETF,LOWV,IE00B802KR88,ETF,CHF
State Street SPDR S&P 500 Low Volatility UCITS ETF,LOWV,IE00B802KR88,ETF,USD
State Street SPDR S&P 500 Quality Aristocrats,QUS5,IE000FJJZA01,ETF,EUR
State Street SPDR S&P Developed Quality Aristocrats UCITS ETF,QDEV,IE000IISJT64,ETF,EUR
State Street SPDR S&P Developed Quality Aristocrats UCITS ETF,QDEV,IE000IISJT64,ETF,EUR
State Street SPDR S&P Emerging Markets Dividend Aristocrats UCITS ETF,SPYV,IE00B6YX5B26,ETF,EUR
State Street SPDR S&P Emerging Markets Dividend Aristocrats UCITS ETF,SPYV,IE00B6YX5B26,ETF,EUR
State Street SPDR S&P Emerging Markets Dividend Aristocrats UCITS ETF,EMDV,IE00B6YX5B26,ETF,CHF
State Street SPDR S&P Euro Dividend Aristocrats Screened UCITS ETF,EEDV,IE00BYTH5T38,ETF,EUR
State Street SPDR S&P Euro Dividend Aristocrats UCITS ETF,SPYW,IE00B5M1WJ87,ETF,EUR
State Street SPDR S&P Euro Dividend Aristocrats UCITS ETF,EUDI,IE00B5M1WJ87,ETF,EUR
State Street SPDR S&P Euro Dividend Aristocrats UCITS ETF,EUDV,IE00B5M1WJ87,ETF,GBP
