name,ticker,isin,productType,currency
Insulet Corp,PODD,US45784P1012,STOCK,USD
Intapp Inc,INTA,US45827U1097,STOCK,USD
Integer Holdings Corp,ITGR,US45826H1095,STOCK,USD
Integra Lifesciences Holdings Corp,IART,US4579852082,STOCK,USD
Integra Resources Corp,ITRG,CA45826T5098,STOCK,USD
Integrated Media Technology Ltd,IMTE,AU000000ITL3,STOCK,USD
Intel Corp,INTC,US4581401001,STOCK,USD
Intellia Therapeutics Inc,NTLA,US45826J1051,STOCK,USD
Intellicheck Inc,IDN,US45817G2012,STOCK,USD
Intelligent Group Ltd Class A Ord Shs,INTJ,VGG480471157,STOCK,USD
Intelligent Living Application Group Inc,ILAG,KYG4804S1194,STOCK,USD
Intelligent Protection Management Corp,IPM,US69764K1060,STOCK,USD
Inter & Co Inc Class A,INTR,KYG4R20B1074,STOCK,USD
Interactive Brokers Group Inc Class A,IBKR,US45841N1072,STOCK,USD
Intercontinental Exchange Inc,ICE,US45866F1049,STOCK,USD
Intercorp Financial Services Inc,IFS,PAL2400671A3,STOCK,USD
InterCure Ltd,INCR,IL0011063760,STOCK,USD
InterDigital Inc,IDCC,US45867G1013,STOCK,USD
Interface Inc,TILE,US4586653044,STOCK,USD
InterGroup Corp,INTG,US4586851044,STOCK,USD
International Bancshares Corp,IBOC,US4590441030,STOCK,USD
International Business Machines Corp,IBM,US4592001014,STOCK,USD
International Flavors & Fragrances Inc,IFF,US4595061015,STOCK,USD
International General Insurance Holdings Ltd,IGIC,BMG4809J1062,STOCK,USD
International Money Express Inc,IMXI,US46005L1017,STOCK,USD
International Paper Co,IP,US4601461035,STOCK,USD
International Seaways Inc,INSW,MHY410531021,STOCK,USD
International Tower Hill Mines Ltd,THM,CA46050R1029,STOCK,USD
Interparfums Inc,IPAR,US4583341098,STOCK,USD
inTest Corp,INTT,US4611471008,STOCK,USD
Intrepid Potash Inc,IPI,US46121Y2019,STOCK,USD
Intrusion Inc,INTZ,US46121E3045,STOCK,USD
Intuit Inc,INTU,US4612021034,STOCK,USD
Intuitive Machines Inc Class A,LUNR,US46125A1007,STOCK,USD
Intuitive Surgical Inc,ISRG,US46120E6023,STOCK,USD
Inuvo Inc,INUV,US46122W3034,STOCK,USD
Invesco Ltd,IVZ,BMG491BT1088,STOCK,USD
Invesco Mortgage Capital Inc,IVR,US46131B7047,STOCK,USD
Investar Holding Corp,ISTR,US46134L1052,STOCK,USD
Investors Title Co,ITIC,US4618041069,STOCK,USD
Invitation Homes Inc,INVH,US46187W1071,STOCK,USD
Invivyd Inc,IVVD,US00534A1025,STOCK,USD
INVO Fertility Inc,IVF,US44984F8077,STOCK,USD
IO Biotech Inc,IOBT,US4497781090,STOCK,USD
Ionis Pharmaceuticals Inc,IONS,US4622221004,STOCK,USD
IONQ Inc,IONQ,US46222L1089,STOCK,USD
Iovance Biotherapeutics Inc,IOVA,US4622601007,STOCK,USD
IPG Photonics Corp,IPGP,US44980X1090,STOCK,USD
iPower Inc,IPW,US46265P2065,STOCK,USD
IQVIA Holdings Inc,IQV,US46266C1053,STOCK,USD
IRadimed Corp,IRMD,US46266A1097,STOCK,USD
IREN Ltd,IREN,AU0000185993,STOCK,USD
"iRhythm Holdings, Inc",IRTC,US4500561067,STOCK,USD
